Month,ClassType,Hours,HoursYear
2022-01-01,ONPEAK,336,4080
2022-02-01,ONPEAK,320,4080
2022-03-01,ONPEAK,368,4080
2022-04-01,ONPEAK,336,4080
2022-05-01,ONPEAK,336,4080
2022-06-01,ONPEAK,352,4080
2022-07-01,ONPEAK,320,4080
2022-08-01,ONPEAK,368,4080
2022-09-01,ONPEAK,336,4080
2022-10-01,ONPEAK,336,4080
2022-11-01,ONPEAK,336,4080
2022-12-01,ONPEAK,336,4080
2022-01-01,OFFPEAK,408,4680
2022-02-01,OFFPEAK,352,4680
2022-03-01,OFFPEAK,375,4680
2022-04-01,OFFPEAK,384,4680
2022-05-01,OFFPEAK,408,4680
2022-06-01,OFFPEAK,368,4680
2022-07-01,OFFPEAK,424,4680
2022-08-01,OFFPEAK,376,4680
2022-09-01,OFFPEAK,384,4680
2022-10-01,OFFPEAK,408,4680
2022-11-01,OFFPEAK,385,4680
2022-12-01,OFFPEAK,408,4680
